,station_id,description,lon,lat,height
486,71078,LYNN LAKE MAN.,-101.08,56.87,357.0
487,71260,SAULT STE.MARIE ONT.,-84.5,46.48,187.0
488,71621,TRENTON,-77.53,44.12,85.0
489,71628,OTTAWA,-75.67,45.32,116.0
490,71727,BAGOTVILLE,-71.0,48.33,159.0
491,71809,DEER LAKE NF.,-57.4,49.22,17.0
492,71828,SCHEFFERVILLE QUE.,-66.82,54.8,522.0
493,71888,"JASPER,ALTA.",-118.07,52.88,1061.0
494,71924,RESOLUTE,-94.98,74.72,40.0
495,71934,FORT SMITH,-111.95,60.02,203.0
496,72203,WEST PALM BEACH,-80.12,26.68,6.0
497,72211,TAMPA,-82.53,27.97,8.0
498,72223,MOBILE/BATES F. AL.,-88.25,30.68,66.0
499,72250,BROWNSVILLE/TX.,-97.42,25.92,7.0
500,72261,DEL RIO,-100.92,29.37,310.0
501,72274,TUCSON INT.,-110.93,32.12,802.0
502,72306,RALEIGH/DURHAM NC.,-78.78,35.87,132.0
503,72327,NASHVILLE INT.,-86.68,36.12,180.0
504,72365,ALBUQUERQUE INT.,-106.62,35.05,1631.0
505,72386,LAS VEGAS/MCCARRAN,-115.17,36.08,662.0
506,72406,BALTIMORE,-76.67,39.18,48.0
507,72421,CINCINNATI OH.,-84.67,39.05,271.0
508,72446,KANSAS CITY,-94.75,39.28,316.0
509,72492,STOCKTON METRO. CA.,-121.25,37.9,8.0
510,72509,BOSTON MA.,-71.03,42.37,6.0
511,72528,"BUFFALO INT.,NY.",-78.73,42.93,220.0
